Company,Ticker,Industry
Bytes Technology Group,BYIT.L,Aerospace & Defence
Chemring Group,CHG.L,Aerospace & Defence
Qinetiq,QQ.L,Aerospace & Defence
Senior,SNR.L,Aerospace & Defence
Ceres Power,CWR.L,Alternative Energy
Aston Martin Lagonda,AML.L,Automobiles & Parts
Dowlais Group,DWL.L,Automobiles & Parts
TI Fluid Systems,TIFS.L,Automobiles & Parts
Bank of Georgia,BGEO.L,Banking Services
Close Brothers Group,CBG.L,Banks
OneSavings Bank,OSB.L,Banks
TBC Bank,TBCG.L,Banks
Hochschild Mining,HOC.L,Basic Resources
A.G. Barr,BAG.L,Beverages
Britvic,BVIC.L,Beverages
Elementis,ELM.L,Chemicals
Johnson Matthey,JMAT.L,Chemicals
Victrex,VCT.L,Chemicals
Foresight Solar Fund,FSFL.L,Collective Investments
Mercantile Investment Trust,MRC.L,Collective Investments
NB Private Equity Partners,NBPE.L,Collective Investments
NextEnergy Solar Fund,NESF.L,Collective Investments
Temple Bar Investment Trust,TMPL.L,Collective Investments
Balfour Beatty,BBY.L,Construction & Materials
Breedon Group,BREE.L,Construction & Materials
Genuit Group,GEN.L,Construction & Materials
Ibstock,IBST.L,Construction & Materials
Keller Group,KLR.L,Construction & Materials
Kier Group,KIE.L,Construction & Materials
Marshalls,MSLH.L,Construction & Materials
Morgan Sindall Group,MGNS.L,Construction & Materials
Volution Group,FAN.L,Construction & Materials
Baltic Classifieds,BCG.L,Consumer Digital Services
Coats Group,COA.L,Consumer Staples
International Distribution Services,IDS.L,Delivery Services
Drax Group,DRX.L,Electricity
Morgan Advanced Materials,MGAM.L,Electronic & Electrical Equipment
Oxford Instruments,OXIG.L,Electronic & Electrical Equipment
Renishaw,RSW.L,Electronic & Electrical Equipment
Spectris,SXS.L,Electronic & Electrical Equipment
SDCL Energy Efficiency Income Trust,SEIT.L,Energy
BlackRock Smaller Companies Trust,BRSC.L,Equity Investments
BlackRock Throgmorton Trust,THRG.L,Equity Investments
Finsbury Growth & Income Trust,FGT.L,Equity Investments
HarbourVest Global Private Equity,HVPE.L,Equity Investments
Pantheon International,PIN.L,Equity Investments
3i Infrastructure,3IN.L,Financial Services
Abrdn,ABDN.L,Financial Services
Alpha Group International,ALPH.L,Financial Services
Apax Global Alpha,APAX.L,Financial Services
Ashmore Group,ASHM.L,Financial Services
BBGI,BBGI.L,Financial Services
AJ Bell,AJB.L,Financial Services
Bridgepoint Group,BPT.L,Financial Services
CMC Markets,CMCX.L,Financial Services
IG Group Holdings,IGG.L,Financial Services
IntegraFin Holdings,IHP.L,Financial Services
International Public Partnerships,INPP.L,Financial Services
Investec,INVP.L,Financial Services
IP Group,IPO.L,Financial Services
JTC,JTC.L,Financial Services
Jupiter Fund Management,JUP.L,Financial Services
Molten Ventures,GROW.L,Financial Services
Ninety One,N91.L,Financial Services
Paragon Banking Group,PAG.L,Financial Services
Patria Private Equity Trust,PPET.L,Financial Services
Plus500,PLUS.L,Financial Services
Quilter,QLT.L,Financial Services
Rathbones,RAT.L,Financial Services
Schroder Oriental Income Fund,SOI.L,Financial Services
Sequoia Economic Infrastructure Income Fund,SEQI.L,Financial Services
W. A. G. Payment Solutions,WPS.L,Financial Services
XPS Pensions,XPS.L,Financial Services
St. James's Place,STJ.L,Financial services
Greggs,GRG.L,Food & Drug Retailers
Premier Foods,PFD.L,Food & Drug Retailers
Bakkavör,BAKK.L,Food & Tobacco
C&C Group,CCR.L,Food & Tobacco
Ocado Group,OCDO.L,Food & drug retailers
Cranswick,CWK.L,Food Producers
Hilton Food Group,HFG.L,Food Producers
Tate & Lyle,TATE.L,Food Producers
Greencore,GNC.L,"Food, Beverage and Tobacco"
Greencoat UK Wind,UKW.L,"Gas, Water & Multiutilities"
Pennon Group,PNN.L,"Gas, Water & Multiutilities"
GCP Infrastructure Investments,GCP.L,General Financial
Vietnam Enterprise Investments,VEIL.L,General Financial
VinaCapital Vietnam Opportunity Fund,VOF.L,General Financial
Goodwin,GDWN.L,General Industrials
Vesuvius,VSVS.L,General Industrials
PureTech Health,PRTC.L,Health Care Equipment & Services
Spire Healthcare,SPI.L,Health Care Equipment & Services
BH Macro,BHMG.L,Hedge Funds
Bellway,BWY.L,Home Construction
Crest Nicholson,CRST.L,Home Construction
Bodycote,BOY.L,Industrial Engineering
Hill & Smith,HILS.L,Industrial Engineering
Rotork,ROR.L,Industrial Engineering
Clarkson,CKN.L,Industrial Transportation
Trainline,TRN.L,Industrial Transportation
RS Group,RS1.L,Industrials
Foresight Group,FSG.L,Investment Banking and Brokerage Services
Alliance Witan,ALW.L,Investment Trusts
Allianz Technology Trust,ATT.L,Investment Trusts
Asia Dragon Trust,DGN.L,Investment Trusts
AVI Global Trust,AGT.L,Investment Trusts
Baillie Gifford Japan Trust,BGFD.L,Investment Trusts
Baillie Gifford US Growth Trust,USA.L,Investment Trusts
Balanced Commercial Property Trust,BCPT.L,Investment Trusts
Bankers Investment Trust,BNKR.L,Investment Trusts
Bellevue Healthcare Trust,BBH.L,Investment Trusts
BlackRock Greater Europe Investment Trust,BRGE.L,Investment Trusts
BlackRock World Mining Trust,BRWM.L,Investment Trusts
Bluefield Solar Income Fund,BSIF.L,Investment Trusts
Brunner Investment Trust,BUT.L,Investment Trusts
Caledonia Investments,CLDN.L,Investment Trusts
Capital Gearing Trust,CGT.L,Investment Trusts
Chrysalis Investments,CHRY.L,Investment Trusts
City of London Investment Trust,CTY.L,Investment Trusts
Edinburgh Investment Trust,EDIN.L,Investment Trusts
Edinburgh Worldwide Investment Trust,EWI.L,Investment Trusts
European Opportunities Trust,EOT.L,Investment Trusts
European Smaller Companies Trust,ESCT.L,Investment Trusts
Fidelity China Special Situations,FCSS.L,Investment Trusts
Fidelity Emerging Markets,FEML.L,Investment Trusts
Fidelity European Trust,FEV.L,Investment Trusts
Fidelity Special Values,FSV.L,Investment Trusts
Global Smaller Companies Trust,GSCT.L,Investment Trusts
Henderson European Trust,HET.L,Investment Trusts
Henderson Smaller Companies Investment Trust,HSL.L,Investment Trusts
Herald Investment Trust,HRI.L,Investment Trusts
Hg Capital Trust,HGT.L,Investment Trusts
HICL Infrastructure Company,HICL.L,Investment Trusts
ICG Enterprise Trust,ICGT.L,Investment Trusts
Impax Environmental Markets,IEM.L,Investment Trusts
JLEN Environmental Assets Group,JLEN.L,Investment Trusts
JPMorgan American Investment Trust,JAM.L,Investment Trusts
JPMorgan Emerging Markets Investment Trust,JMG.L,Investment Trusts
JPMorgan European Discovery,JEDT.L,Investment Trusts
JPMorgan Global Growth & Income,JGGI.L,Investment Trusts
JPMorgan Indian Investment Trust,JII.L,Investment Trusts
JPMorgan Japanese Investment Trust,JFJ.L,Investment Trusts
Law Debenture,LWDB.L,Investment Trusts
Man Group,EMG.L,Investment Trusts
Merchants Trust,MRCH.L,Investment Trusts
Monks Investment Trust,MNKS.L,Investment Trusts
Murray Income Trust,MUT.L,Investment Trusts
Murray International Trust,MYI.L,Investment Trusts
